zipcode,population,pop_density
92337,38868,1049.1
92338,0,0
92339,1185,32.3
92340,1185,32.3
92341,203,22.4
92342,6508,23.4
92344,23003,208.3
92345,80808,370.5
92346,61751,832.7
92347,843,4.5
92350,843,4.5
92352,5729,320.3
92354,21679,1703.8
92356,6065,6.3
92357,6065,6.3
92358,782,13.8
92359,9056,186.8
92363,5407,10.4
92364,0,0.1
92365,2792,5.9
92366,2792,5.9
92368,1100,15.4
92369,1100,15.4
92371,17882,46.3
92372,6282,86.1
92373,33264,316.8
92374,43633,831.6
92375,43633,831.6
92376,87027,2328.4
92377,19556,756.1
92378,263,85.3
92382,4709,134.9
92385,202,14.4
92386,2140,457.1
92391,2479,418.8
92392,58204,567.4
92393,58204,567.4
92394,35365,469.6
92395,42741,939.1
92397,4571,182.7
92398,2098,19
92399,54163,383
92401,1929,862.5
92402,1929,862.5
92403,1929,862.5
92404,61216,787.2
92405,30511,2359.3
92406,30511,2359.3
92407,69222,348.1
92408,14434,553.5
92410,45641,2322.7
92411,26563,2460.7
92413,26563,2460.7
92415,26563,2460.7
92418,26563,2460.7
92423,26563,2460.7
92427,26563,2460.7
93558,40,13.2
93562,1723,17.7
93592,77,0.2
91901,18558,75.2
91902,20138,781.2
91903,20138,781.2
91905,1478,10
91906,4351,13.3
91908,4351,13.3
91909,4351,13.3
91910,74297,2392.3
91911,85365,2736.2
91912,85365,2736.2
91913,53072,1551.9
91914,16357,947.7
91915,31740,1251.1
91916,1962,15.7
91917,920,10.5
91921,920,10.5
91931,496,15.8
91932,26701,3753.6
91933,26701,3753.6
91934,267,6.1
91935,8332,34.5
91941,32384,1522
91942,40205,2506.3
91943,40205,2506.3
91944,40205,2506.3
91945,27193,2505.2
91946,27193,2505.2
91948,15,1.5
91950,62639,3059.5
91951,62639,3059.5
91962,2378,12.3
91963,999,12.8
91976,999,12.8
91977,63393,2332.5
91978,10518,509.9
91979,10518,509.9
91980,636,17.8
91987,636,17.8
92003,5042,105.6
92004,2414,2.2
92007,11234,1647.5
